price,ipath,areaname,rating,citydistance,title,canonical,photo,resultsType,latitude,longitude,color
47,34501,"Indianapolis,",64,11,Days Inn and Suites Northwest Indianapolis,http://www.trivago.com/indianapolis-34501/hotel,//imgec.trivago.com/itemimages/63/71/63717_v1_isq.jpeg,"City - Indiana, USA (292 Hotels)",39.918427,-86.2272,yellow
47,34501,"Indianapolis,",57,11.4,Super 8 Indianpolis NE Castleton,http://www.trivago.com/indianapolis-34501/hotel,//imgec.trivago.com/itemimages/59/04/59042_v2_isq.jpeg,"City - Indiana, USA (292 Hotels)",39.907127,-86.04188,yellow
47,34501,"Indianapolis,",64,11,Days Inn and Suites Northwest Indianapolis,http://www.trivago.com/indianapolis-34501/hotel,//imgec.trivago.com/itemimages/63/71/63717_v1_isq.jpeg,"City - Indiana, USA (292 Hotels)",39.918427,-86.2272,yellow
47,34501,"Indianapolis,",57,11.4,Super 8 Indianpolis NE Castleton,http://www.trivago.com/indianapolis-34501/hotel,//imgec.trivago.com/itemimages/59/04/59042_v2_isq.jpeg,"City - Indiana, USA (292 Hotels)",39.907127,-86.04188,yellow
47,34554,"Louisville,",66,5.8,Super 8 Louisville Airport,http://www.trivago.com/louisville-34554/hotel,//imgec.trivago.com/itemimages/77/81/77815_v4_isq.jpeg,"City - Kentucky, USA (139 Hotels)",38.178,-85.7169,yellow
47,34554,"Louisville,",66,5.8,Super 8 Louisville Airport,http://www.trivago.com/louisville-34554/hotel,//imgec.trivago.com/itemimages/77/81/77815_v4_isq.jpeg,"City - Kentucky, USA (139 Hotels)",38.178,-85.7169,yellow
47,34565,"Lafayette,",57,2,Days Inn Lafayette University,http://www.trivago.com/lafayette-34565/hotel,//imgec.trivago.com/itemimages/74/50/74509_v1_isq.jpeg,"City - Louisiana, USA (67 Hotels)",30.251116,-92.03368,yellow
47,34686,"Jackson,",57,6.8,Super 8 Jackson - North,http://www.trivago.com/jackson-34686/hotel,//imgec.trivago.com/itemimages/57/95/57958_v1_isq.jpeg,"City - Mississippi, USA (65 Hotels)",32.391853,-90.14533,yellow
47,34706,"Kansas City,",77,12.7,Sleep Inn Airport Kansas City,http://www.trivago.com/kansas-city-34706/hotel,//imgec.trivago.com/itemimages/77/41/77416_v2_isq.jpeg,"City - Missouri, USA (159 Hotels)",39.26992,-94.66871,yellow
47,34738,"Elko,",77,0.6,Holiday Motel,http://www.trivago.com/elko-34738/hotel,//imgec.trivago.com/itemimages/43/86/4386582_isq.jpeg,"City - Nevada, USA (34 Hotels)",40.83841,-115.75585,yellow
47,34790,"Santa Fe,",71,3,The Santa Fe Suites,http://www.trivago.com/santa-fe-34790/hotel,//imgec.trivago.com/itemimages/82/90/829076_v1_isq.jpeg,"City - New Mexico, USA (231 Hotels)",35.64453,-105.95478,yellow
47,34812,"New York,",68,2.5,Ministay,http://www.trivago.com/new-york-34812/hotel,//imgec.trivago.com/itemimages/46/59/4659428_v1_isq.jpeg,"City - New York State, USA (2105 Hotels)",40.761833,-73.92686,yellow
47,34812,"New York,",68,2.5,Ministay,http://www.trivago.com/new-york-34812/hotel,//imgec.trivago.com/itemimages/46/59/4659428_v1_isq.jpeg,"City - New York State, USA (2105 Hotels)",40.761833,-73.92686,yellow
47,34812,"New York,",68,2.5,Ministay,http://www.trivago.com/new-york-34812/hotel,//imgec.trivago.com/itemimages/46/59/4659428_v1_isq.jpeg,"City - New York State, USA (2105 Hotels)",40.761833,-73.92686,yellow
47,34830,"Charlotte,",50,5.5,Super 8 Charlotte,http://www.trivago.com/charlotte-34830/hotel,//imgec.trivago.com/itemimages/59/99/59993_v2_isq.jpeg,"City - North Carolina, USA (194 Hotels)",35.306816,-80.84572,yellow
47,34835,"Fayetteville,",71,5.5,Rodeway Inn formerly Comfort Inn Fayetteville,http://www.trivago.com/fayetteville-34835/hotel,//imgec.trivago.com/itemimages/69/89/69890_v2_isq.jpeg,"City - North Carolina, USA (58 Hotels)",35.009125,-78.82438,yellow
47,34835,"Fayetteville,",71,5.5,Rodeway Inn formerly Comfort Inn Fayetteville,http://www.trivago.com/fayetteville-34835/hotel,//imgec.trivago.com/itemimages/69/89/69890_v2_isq.jpeg,"City - North Carolina, USA (58 Hotels)",35.009125,-78.82438,yellow
47,34837,"Greensboro,",53,3.5,Ramada Greensboro,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/36/52/365236_v1_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.043644,-79.84399,yellow
47,34837,"Greensboro,",77,6.2,Days Inn Greensboro NC ex. Continental Inn & Suites,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/17/70/1770537_v3_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.053757,-79.8994,yellow
47,34837,"Greensboro,",53,3.5,Ramada Greensboro,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/36/52/365236_v1_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.043644,-79.84399,yellow
47,34837,"Greensboro,",77,6.2,Days Inn Greensboro NC ex. Continental Inn & Suites,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/17/70/1770537_v3_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.053757,-79.8994,yellow
47,34837,"Greensboro,",53,3.5,Ramada Greensboro,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/36/52/365236_v1_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.043644,-79.84399,yellow
47,34837,"Greensboro,",77,6.2,Days Inn Greensboro NC ex. Continental Inn & Suites,http://www.trivago.com/greensboro-34837/hotel,//imgec.trivago.com/itemimages/17/70/1770537_v3_isq.jpeg,"City - North Carolina, USA (87 Hotels)",36.053757,-79.8994,yellow
47,34893,"Oklahoma City,",75,3.4,Super 8 Oklahoma City,http://www.trivago.com/oklahoma-city-34893/hotel,//imgec.trivago.com/itemimages/10/83/1083234_v2_isq.jpeg,"City - Oklahoma, USA (224 Hotels)",35.426052,-97.48495,yellow
47,34893,"Oklahoma City,",70,4,Lincoln Inn Express Hotel and Suites,http://www.trivago.com/oklahoma-city-34893/hotel,//imgec.trivago.com/itemimages/69/79/69797_v3_isq.jpeg,"City - Oklahoma, USA (224 Hotels)",35.52492,-97.50387,yellow
47,34893,"Oklahoma City,",75,3.4,Super 8 Oklahoma City,http://www.trivago.com/oklahoma-city-34893/hotel,//imgec.trivago.com/itemimages/10/83/1083234_v2_isq.jpeg,"City - Oklahoma, USA (224 Hotels)",35.426052,-97.48495,yellow
47,34893,"Oklahoma City,",75,3.4,Super 8 Oklahoma City,http://www.trivago.com/oklahoma-city-34893/hotel,//imgec.trivago.com/itemimages/10/83/1083234_v2_isq.jpeg,"City - Oklahoma, USA (224 Hotels)",35.426052,-97.48495,yellow
47,34893,"Oklahoma City,",70,4,Lincoln Inn Express Hotel and Suites,http://www.trivago.com/oklahoma-city-34893/hotel,//imgec.trivago.com/itemimages/69/79/69797_v3_isq.jpeg,"City - Oklahoma, USA (224 Hotels)",35.52492,-97.50387,yellow
47,34894,"Tulsa,",70,8.4,Quality Inn Tulsa,http://www.trivago.com/tulsa-34894/hotel,//imgec.trivago.com/itemimages/66/97/66978_v1_isq.jpeg,"City - Oklahoma, USA (156 Hotels)",36.105427,-95.856384,yellow
47,34894,"Tulsa,",70,8.4,Quality Inn Tulsa,http://www.trivago.com/tulsa-34894/hotel,//imgec.trivago.com/itemimages/66/97/66978_v1_isq.jpeg,"City - Oklahoma, USA (156 Hotels)",36.105427,-95.856384,yellow
47,34899,"Bend,",74,0.4,Econo Lodge Bend,http://www.trivago.com/bend-34899/hotel,//imgec.trivago.com/itemimages/57/26/57264_v2_isq.jpeg,"City - Oregon, USA (89 Hotels)",44.054783,-121.303085,yellow
47,34899,"Bend,",74,0.4,Econo Lodge Bend,http://www.trivago.com/bend-34899/hotel,//imgec.trivago.com/itemimages/57/26/57264_v2_isq.jpeg,"City - Oregon, USA (89 Hotels)",44.054783,-121.303085,yellow
47,34908,"Medford,",72,0.4,Red Carpet Inn Medford,http://www.trivago.com/medford-34908/hotel,//imgec.trivago.com/itemimages/88/23/882395_v1_isq.jpeg,"City - Oregon, USA (39 Hotels)",42.321922,-122.866554,yellow
47,34911,"Portland,",70,6,Rodeway Inn Portland Airport,http://www.trivago.com/portland-34911/hotel,//imgec.trivago.com/itemimages/67/10/67109_v3_isq.jpeg,"City - Oregon, USA (189 Hotels)",45.559196,-122.562706,yellow
