thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
King George,328370,274900,50,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Flagler,328164,200000,25,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Juan,328092,,15,Utah,UT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hanover,328021,250000,19,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Seminole,327666,227000,15,Florida,FL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Red River,327068,,121,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Carson City,326938,243075,,Nevada,NV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Windsor,326728,180000,2,Vermont,VT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kitsap,325754,146000,2,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Walworth,325257,178000,7,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Bernardino,325096,281750,5,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Johnson,324456,,12,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cherokee,324323,217000,8,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Huerfano,324237,110500,31,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Fannin,324107,207000,21,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bristol,323925,200000,7,Massachusetts,MA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Putnam,323356,208000,69,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sumner,323263,220000,14,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kimble,323091,,136,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Louisa,323072,182250,36,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Middlesex,323001,295000,5,New Jersey,NJ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madera,322453,145000,36,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Monroe,322085,,62,Arkansas,AR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lincoln,322038,,9,Maine,ME,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lincoln,321770,,7,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Clallam,321220,222000,10,Washington,WA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Dane,320817,225000,1,Wisconsin,WI,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kane,320733,201500,5,Illinois,IL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cook,320508,,1,Illinois,IL,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Cameron,320493,,20,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Kent,320061,202037,16,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Somervell,320009,,154,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Los Alamos,318970,,,New Mexico,NM,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Madison,318673,,64,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Adams,318057,,30,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Habersham,318000,145250,60,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Galveston,317868,,9,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
San Juan,317831,245000,39,Colorado,CO,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Robertson,317827,,98,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Warren,317252,174450,15,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Beaverhead,317247,,13,Montana,MT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Custer,317114,,24,Idaho,ID,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lincoln,316622,172500,42,North Carolina,NC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Benton,316318,,1,Arkansas,AR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Worcester,315992,215000,10,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lumpkin,315477,165000,42,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lane,315384,235000,3,Oregon,OR,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
East Feliciana,315276,,44,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Brazos,315164,,27,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Edwards,314850,,134,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Tuolumne,314411,240000,38,California,CA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
