lat,lng,name,city,st,url,hotelid,filename,filename
40.053275,-84.23825,Americas Best Inn Troy,Troy,OH,//www.allstays.com/hotels/39538.htm,39538,americas-best-inn.csv,Americas Best Inn
45.496413,-122.881833,Americas Best Inn Aloha,Aloha,OR,//www.allstays.com/hotels/40193.htm,40193,americas-best-inn.csv,Americas Best Inn
42.220913,-121.786842,Americas Best Inn Klamath Falls,Klamath Falls,OR,//www.allstays.com/hotels/40470.htm,40470,americas-best-inn.csv,Americas Best Inn
44.972738,-124.013565,Americas Best Inn Lincoln City,Lincoln City,OR,//www.allstays.com/hotels/40502.htm,40502,americas-best-inn.csv,Americas Best Inn
42.278404,-122.810842,"The Americas Best Inn Phoenix/Medford, OR",Phoenix,OR,//www.allstays.com/hotels/52125.htm,52125,americas-best-inn.csv,Americas Best Inn
32.440358,-80.707832,Americas Best Inn Beaufort,Beaufort,SC,//www.allstays.com/hotels/42248.htm,42248,americas-best-inn.csv,Americas Best Inn
34.687163,-82.811143,Americas Best Inn Clemson,Clemson,SC,//www.allstays.com/hotels/42365.htm,42365,americas-best-inn.csv,Americas Best Inn
35.062153,-85.133035,Americas Best Inn Chattanooga Hamilton,Chattanooga,TN,//www.allstays.com/hotels/43367.htm,43367,americas-best-inn.csv,Americas Best Inn
35.153662,-88.57668,Americas Best Inn Selmer,Selmer,TN,//www.allstays.com/hotels/44292.htm,44292,americas-best-inn.csv,Americas Best Inn
32.765228,-97.064191,"Americas Best Inn of Arlington, TX",Arlington,TX,//www.allstays.com/hotels/44549.htm,44549,americas-best-inn.csv,Americas Best Inn
29.268599,-94.829898,Americas Best Inn & Suites,Galveston,TX,//www.allstays.com/hotels/45638.htm,45638,americas-best-inn.csv,Americas Best Inn
37.110366,-113.555954,Americas Best Inn Suites St George,Saint George,UT,//www.allstays.com/hotels/48021.htm,48021,americas-best-inn.csv,Americas Best Inn
40.747094,-111.891096,Americas Best Inn Salt Lake City,Salt Lake City,UT,//www.allstays.com/hotels/48059.htm,48059,americas-best-inn.csv,Americas Best Inn
42.880548,-72.557843,Americas Best Inn Brattleboro,Brattleboro,VT,//www.allstays.com/hotels/49571.htm,49571,americas-best-inn.csv,Americas Best Inn
45.168519,-89.148047,Americas Best Inn Antigo,Antigo,WI,//www.allstays.com/hotels/52126.htm,52126,americas-best-inn.csv,Americas Best Inn
61.181355,-149.93842,Americas Best Value Inn Executive Suites Anchorage Hotel,Anchorage,AK,//www.allstays.com/hotels/10010.htm,10010,americas-best-value-inn.csv,Americas Best Value Inn
33.104545,-86.733588,Americas Best Value Inn Suites Calera,Calera,AL,//www.allstays.com/hotels/10630.htm,10630,americas-best-value-inn.csv,Americas Best Value Inn
31.300561,-85.834973,Americas Best Value Inn,Enterprise,AL,//www.allstays.com/hotels/10720.htm,10720,americas-best-value-inn.csv,Americas Best Value Inn
30.396735,-87.683119,Americas Best Value Inn Foley,Foley,AL,//www.allstays.com/hotels/10772.htm,10772,americas-best-value-inn.csv,Americas Best Value Inn
33.620266,-85.596224,Americas Best Value Inn,Heflin,AL,//www.allstays.com/hotels/10842.htm,10842,americas-best-value-inn.csv,Americas Best Value Inn
34.752263,-86.597261,Americas Best Value Inn Huntsville,Huntsville,AL,//www.allstays.com/hotels/10864.htm,10864,americas-best-value-inn.csv,Americas Best Value Inn
33.541975,-86.585684,Americas Best Value Inn Leeds Birmingham,Leeds,AL,//www.allstays.com/hotels/10922.htm,10922,americas-best-value-inn.csv,Americas Best Value Inn
30.583322,-88.172776,Americas Best Value Inn and Suites Mobile,Mobile,AL,//www.allstays.com/hotels/10950.htm,10950,americas-best-value-inn.csv,Americas Best Value Inn
30.583322,-88.172776,Americas Best Value Inn Tillmans Corner Mobile,Mobile,AL,//www.allstays.com/hotels/10951.htm,10951,americas-best-value-inn.csv,Americas Best Value Inn
31.533793,-87.313374,Americas Best Value Inn Monroeville,Monroeville,AL,//www.allstays.com/hotels/11006.htm,11006,americas-best-value-inn.csv,Americas Best Value Inn
34.735053,-87.667637,Americas Best Value Inn Muscle Shoals Florence,Muscle Shoals,AL,//www.allstays.com/hotels/11075.htm,11075,americas-best-value-inn.csv,Americas Best Value Inn
33.606821,-85.82885,Americas Best Value Inn - Oxford / Anniston,Oxford,AL,//www.allstays.com/hotels/11111.htm,11111,americas-best-value-inn.csv,Americas Best Value Inn
