"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"128" "Archer, Jeffrey" "Archer" "Jeffrey" 0 1940-04-15 4 15 "Aries"
"129" "Arena, Bruce" "Arena" "Bruce" 38 1951-09-21 9 21 "Virgo"
"130" "Arenson, Karen W" "Arenson" "Karen W" 2 NA NA NA NA
"131" "Argerich, Martha" "Argerich" "Martha" 5 1941-06-05 6 5 "Gemini"
"132" "Aristide, Jean-Bertrand" "Aristide" "Jean-Bertrand" 24 1953-07-15 7 15 "Cancer"
"133" "Arkin, Alan" "Arkin" "Alan" 8 1934-03-26 3 26 "Aries"
"134" "Arledge, Roone" "Arledge" "Roone" 0 1931-07-08 7 8 "Cancer"
"135" "Armani, Giorgio" "Armani" "Giorgio" 27 0007-01-01 1 1 "Capricorn"
"136" "Armey, Dick" "Armey" "Dick" 11 1940-07-07 7 7 "Cancer"
"137" "Armstead, Jessie" "Armstead" "Jessie" 0 1970-10-26 10 26 "Scorpio"
"138" "Armstrong, C Michael" "Armstrong" "C Michael" 1 1938-10-18 10 18 "Libra"
"139" "Armstrong, Lance" "Armstrong" "Lance" 251 1971-09-18 9 18 "Virgo"
"140" "Armstrong, Louis" "Armstrong" "Louis" 19 1900-07-04 7 4 "Cancer"
"141" "Arnault, Bernard" "Arnault" "Bernard" 8 1949-03-05 3 5 "Pisces"
"142" "Arnett, Peter" "Arnett" "Peter" 0 1934-11-13 11 13 "Scorpio"
"143" "Arnott, Jason" "Arnott" "Jason" 0 1974-10-11 10 11 "Libra"
"144" "Arpaio, Joseph M" "Arpaio" "Joseph M" 14 1932-06-14 6 14 "Gemini"
"145" "Arroyo, Gloria Macapagal" "Arroyo" "Gloria Macapagal" 38 1947-04-05 4 5 "Aries"
"146" "Artest, Ron" "Artest" "Ron" 36 1979-11-13 11 13 "Scorpio"
"147" "Arum, Bob" "Arum" "Bob" 1 1931-12-08 12 8 "Sagittarius"
"148" "Arvedlund, Erin E" "Arvedlund" "Erin E" 1 NA NA NA NA
"149" "Asahara, Shoko" "Asahara" "Shoko" 0 1955-03-02 3 2 "Pisces"
"150" "Ashbery, John" "Ashbery" "John" 8 1927-07-28 7 28 "Leo"
"151" "Ashcroft, John" "Ashcroft" "John" 67 1942-05-09 5 9 "Taurus"
"152" "Ashe, Arthur" "Ashe" "Arthur" 11 1943-07-10 7 10 "Cancer"
"153" "Ashkenazy, Vladimir" "Ashkenazy" "Vladimir" 1 1937-07-06 7 6 "Cancer"
"154" "Ashley, Christopher" "Ashley" "Christopher" 6 NA NA NA NA
"155" "Ashton, Frederick" "Ashton" "Frederick" 22 1904-01-01 1 1 "Capricorn"
"156" "Asimov, Eric" "Asimov" "Eric" 12 1957-07-17 7 17 "Cancer"
"157" "Aso, Taro" "Aso" "Taro" 25 NA NA NA NA
"158" "Aspan, Maria" "Aspan" "Maria" 0 1982-01-01 1 1 "Capricorn"
"159" "Assad, Bashar Al-" "Assad" "Bashar Al-" 61 1965-09-11 9 11 "Virgo"
"160" "Assad, Hafez Al-" "Assad" "Hafez Al-" 3 1930-10-06 10 6 "Libra"
"161" "Assayas, Olivier" "Assayas" "Olivier" 13 1955-01-25 1 25 "Aquarius"
"162" "Astaire, Fred" "Astaire" "Fred" 9 1899-05-10 5 10 "Taurus"
"163" "Astor, Brooke" "Astor" "Brooke" 150 1902-03-30 3 30 "Aries"
"164" "Ataturk, Kemal" "Ataturk" "Kemal" 14 1881-01-01 1 1 "Capricorn"
"165" "Atkins, Eileen" "Atkins" "Eileen" 6 1934-06-16 6 16 "Gemini"
"166" "Atta, Mohamed" "Atta" "Mohamed" 5 1968-09-01 9 1 "Virgo"
"167" "Atwood, Margaret" "Atwood" "Margaret" 11 1939-11-18 11 18 "Scorpio"
"168" "Auburn, David" "Auburn" "David" 4 1969-11-30 11 30 "Sagittarius"
"169" "Auden, Wystan Hugh" "Auden" "Wystan Hugh" 6 1907-02-21 2 21 "Pisces"
"170" "Audubon, John James" "Audubon" "John James" 12 1785-04-26 4 26 "Taurus"
"171" "Aung San Suu Kyi, Daw" "Aung San Suu Kyi" "Daw" 83 1945-06-19 6 19 "Gemini"
"172" "Auriemma, Geno" "Auriemma" "Geno" 42 1954-03-23 3 23 "Aries"
"173" "Austen, Jane" "Austen" "Jane" 23 1775-12-16 12 16 "Sagittarius"
"174" "Auster, Paul" "Auster" "Paul" 12 1947-02-03 2 3 "Aquarius"
"175" "Autissier, Isabelle" "Autissier" "Isabelle" 0 1956-10-18 10 18 "Libra"
"176" "Avedon, Richard" "Avedon" "Richard" 18 1923-05-15 5 15 "Taurus"
"177" "Avery, Milton" "Avery" "Milton" 1 1885-03-07 3 7 "Pisces"
"178" "Avery, Sean" "Avery" "Sean" 35 1980-04-10 4 10 "Aries"
"179" "Ax, Emanuel" "Ax" "Emanuel" 21 1949-06-08 6 8 "Gemini"
"180" "Axelrod, David" "Axelrod" "David" 28 1955-02-22 2 22 "Pisces"
"181" "Ayckbourn, Alan" "Ayckbourn" "Alan" 15 1939-04-12 4 12 "Aries"
"182" "Ayres, Ian" "Ayres" "Ian" 4 1959-01-01 1 1 "Capricorn"
