avgListPrice,medianPrice,popularity,statecode,city,state,latitude,longitude
228932,150000,5,NC,Guilford,North Carolina,36.0899873,-79.8296743
228923,149450,33,GA,Camden,Georgia,30.898276,-81.6035062
228829,168000,7,NH,Cheshire,New Hampshire,42.9259375,-72.236379
228796,,42,MT,Roosevelt,Montana,48.2850231,-105.1099231
228740,,35,MI,Antrim,Michigan,44.9730441,-85.1769095
228650,148092,152,GA,Clay,Georgia,31.6447931,-85.0025539
228023,,76,TX,Cherokee,Texas,30.9814776,-98.7083207
227996,195000,,VA,Norfolk,Virginia,36.8507689,-76.2858726
227894,172450,10,PA,Northampton,Pennsylvania,40.6862075,-75.4968501
227865,,17,ID,Nez Perce,Idaho,46.2348914,-116.2406974
227672,,3,TN,Knox,Tennessee,35.9874629,-83.9419784
227500,,81,KS,Graham,Kansas,39.3198302,-99.8124935
227445,115500,34,MI,Cass,Michigan,41.9299158,-86.0121573
226802,205000,18,NJ,Warren,New Jersey,40.6342489,-74.5004796
226376,,139,TX,Jackson,Texas,28.9340886,-96.5356449
226240,134000,36,TN,Roane,Tennessee,35.836117,-84.564147
226113,,164,TX,Gaines,Texas,32.6987519,-102.7135121
226082,,20,IN,Bartholomew,Indiana,39.206801,-85.8895551
225992,195000,26,WI,Oneida,Wisconsin,44.4799393,-88.2266434
225969,178000,19,MN,Clay,Minnesota,46.878186,-96.4257589
225829,88950,115,GA,Lincoln,Georgia,33.7875101,-82.4319405
225631,150000,5,PA,Delaware,Pennsylvania,39.907793,-75.3878525
225396,,1,SC,Horry,South Carolina,33.9196567,-78.9288242
225320,,24,TX,Johnson,Texas,30.2767408,-98.4119811
225171,,14,MT,Jefferson,Montana,46.1450553,-112.0752952
224946,103500,6,TN,Marion,Tennessee,35.0928512,-85.643487
224739,,58,NC,Beaufort,North Carolina,34.7182174,-76.6638186
224612,,5,LA,Calcasieu,Louisiana,30.2089286,-93.3388917
224501,,40,TX,Medina,Texas,29.2987871,-99.0128926
224314,,53,TX,Polk,Texas,30.7150882,-94.8105955
224130,,12,LA,Ouachita,Louisiana,32.4271852,-92.2236667
223957,115000,9,OK,Osage,Oklahoma,36.2928497,-96.4158527
223811,165000,12,MA,Franklin,Massachusetts,42.0834313,-71.396725
223797,,9,MO,Boone,Missouri,39.0468547,-92.3813621
223608,,5,TX,Comal,Texas,29.8105572,-98.2212979
223342,112250,64,TN,Giles,Tennessee,35.0894745,-86.9824288
223196,,57,WI,Bayfield,Wisconsin,46.8107671,-90.81824
223142,83000,42,CO,Conejos,Colorado,37.2689711,-106.2522143
223124,194900,,VA,Harrisonburg,Virginia,38.4495688,-78.8689155
223000,182000,9,NE,Buffalo,Nebraska,40.8410218,-99.1013498
222856,158000,6,WI,Kenosha,Wisconsin,42.5847425,-87.8211854
222735,348284,33,WI,Pierce,Wisconsin,44.7508921,-92.3813621
222712,123700,17,FL,Marion,Florida,29.2787765,-82.12784
222598,156750,4,OK,Cleveland,Oklahoma,36.3100688,-96.4641886
222487,78500,136,GA,Jenkins,Georgia,32.7781246,-81.9971108
222372,,4,WY,Natrona,Wyoming,42.8313837,-106.912251
222218,,6,WY,Fremont,Wyoming,43.0119968,-108.6175626
222042,144950,54,GA,White,Georgia,34.2828722,-84.7452138
