avgListPrice,county,state,statecode,medianPrice,popularity,latitude,longitude
102921,Monona,Iowa,IA,79000,50,43.0516494,-91.3893041
102887,Alpena,Michigan,MI,,49,45.0616794,-83.4327528
102760,Saline,Illinois,IL,106000,61,37.7149675,-88.556531
102759,Clark,Missouri,MO,,107,39.2811499,-92.3426781
102709,Shelby,Illinois,IL,,76,39.3980704,-88.864698
102618,Wheeler,Georgia,GA,60484,130,32.0999794,-82.6915429
102352,Barton,Missouri,MO,,74,37.4748791,-94.315422
102344,Kingman,Kansas,KS,,30,37.6458491,-98.1136734
102281,Pierce,Nebraska,NE,97500,44,42.19917,-97.5267247
102277,Coshocton,Ohio,OH,65250,37,40.2720151,-81.8595756
102250,Grant,South Dakota,SD,,28,45.1752383,-96.7507035
102114,Marion,Ohio,OH,,38,40.5886699,-83.1285242
101793,La Paz,Arizona,AZ,62750,14,34.0061091,-113.9536466
