artist,hotness
Basement Jaxx,0.744963
Edward Maya,0.744619
Ungu,0.744424
Basshunter,0.744232
Christina Aguilera,0.744105
Todd Terje,0.743744
Bryan Ferry,0.743724
Travis,0.743421
Fink,0.743387
Sleeping with Sirens,0.74336
Fabri Fibra,0.743299
Duman,0.743111
Keane,0.743024
Duck Sauce,0.743006
Gogol Bordello,0.742828
Sebastian,0.742698
Elvis Costello,0.742663
Elvis Costello and The Roots,0.742663
The Cranberries,0.742639
Thomas Newman,0.742633
Macy Gray,0.742458
Paul Simon,0.742381
Luciano Pavarotti,0.742213
The-Dream,0.742036
Bonnie Raitt,0.742005
D'Angelo,0.741751
Rise Against,0.741644
Don McLean,0.741443
Bednarek,0.741241
Prāta Vētra,0.741059
YG,0.740983
Billy Idol,0.740798
American Authors,0.740486
OK Go,0.740416
Empire of the Sun,0.740219
Caribou,0.739733
Amy Winehouse,0.739607
Lionel Richie,0.739188
Stick to Your Guns,0.738748
Monarchy,0.738478
Katzenjammer,0.738226
Vetusta Morla,0.738118
Unknown Mortal Orchestra,0.737757
Yo Yo Honey Singh,0.737724
Dash Berlin,0.73765
Spoon,0.737133
Sara Bareilles,0.736974
M.I.A.,0.736707
Asking Alexandria,0.736644
Sinéad O'Connor,0.736611
Woodkid,0.736516
Alanis Morissette,0.73641
Bee Gees,0.736291
Neil Finn,0.736194
Phil Collins,0.736083
Seu Jorge,0.736013
Die Fantastischen Vier,0.735959
LUNA SEA,0.735814
Pino Daniele,0.734854
Nicole Scherzinger,0.73479
Jennifer Hudson,0.734674
Vanessa Paradis,0.734628
Bonnie Tyler,0.734411
Paco de Lucía,0.73429
Raige,0.733944
Joe Nichols,0.733694
Skunk Anansie,0.733654
Zero 7,0.733607
Marit Larsen,0.733589
Rammstein,0.733272
Ferry Corsten,0.733129
Nelly,0.732851
Chromatics,0.732837
Outkast,0.732761
Mother Mother,0.732287
Wire,0.732146
Maria Mena,0.732144
Ice Cube,0.732106
Aloe Blacc,0.732089
Chaka Khan,0.731859
Otis Redding,0.731838
Jamie Cullum,0.731716
Dionne Warwick,0.731684
Pantha du Prince,0.731683
Perfect,0.731645
浜崎あゆみ,0.731635
And One,0.731592
L'Arc~en~Ciel,0.731522
Ylvis,0.731349
Camouflage,0.731185
Joy Division,0.730634
Alejandro Fernández,0.730435
KaeN,0.73035
Roxette,0.730318
Logic,0.73031
東京スカパラダイスオーケストラ,0.730256
Ravi Shankar,0.730148
GLAY,0.730097
R.I.O.,0.729695
Wisin & Yandel,0.729546
Kasabian,0.729495
Carpenters,0.729399
Ana Carolina,0.729389
Villagers,0.72886
Bon Jovi,0.728696
Ásgeir,0.728592
James Morrison,0.728476
Claudio Baglioni,0.728383
Drenge,0.728261
Bush,0.727963
Snow Patrol,0.72715
Patrick Doyle,0.72707
Agnes,0.726908
Miguel,0.726643
Bliss n Eso,0.726623
Edward Sharpe & The Magnetic Zeros,0.726228
Subsonica,0.725837
Nena,0.725825
Frank Ocean,0.725783
Vanessa Carlton,0.725677
Louis-Jean Cormier,0.725585
The Dirty Heads,0.725533
Rita Ora,0.725374
Far East Movement,0.725336
Model,0.725175
The Handsome Family,0.724895
Noah and the Whale,0.724825
Disturbed,0.724758
Barry White,0.724409
Gianluca Grignani,0.724363
Die Antwoord,0.724187
安室奈美恵,0.724158
Ja Rule,0.724154
The Shins,0.723937
ABBA,0.723936
The Guess Who,0.723809
Andrés Cepeda,0.723628
Eels,0.72302
The Waterboys,0.723013
Regina Spektor,0.722986
Squarepusher,0.722656
First Aid Kit,0.722646
少女時代,0.722466
Broken Bells,0.722411
Taj Mahal,0.722289
Enya,0.722048
Will Smith,0.721881
Traffic,0.721837
Paradise Lost,0.721008
Amanda Jenssen,0.720958
Steve Earle,0.720875
Crossfaith,0.72065
The Dø,0.720513
Tracy Chapman,0.720471
久石譲,0.720357
NEEDTOBREATHE,0.720194
3 Doors Down,0.719984
Portishead,0.719957
Lara Fabian,0.719903
Kara,0.719873
King,0.719801
P. Diddy Featuring Notorious B.I.G.  Busta Rhymes  50 Cent  Lloyd Banks,0.719038
The Jam,0.718734
Tryo,0.71804
Buraka Som Sistema,0.717822
New Politics,0.717294
Dirty Vegas,0.717122
Bear McCreary,0.717079
Borgore,0.716994
Bombay Bicycle Club,0.716978
A,0.716891
Yeah Yeah Yeahs,0.716815
Us3,0.71657
Cheek,0.716228
The Strypes,0.716215
Santana,0.716171
Gustavo Cerati,0.716109
TLC,0.715862
Tech N9ne,0.715801
Survivor,0.715761
Fonseca,0.715689
Callejon,0.71543
The Mowgli's,0.715372
Joe Cocker,0.715161
happysad,0.715042
deadmau5,0.715019
Miami Horror,0.714206
Architects,0.713926
Aretha Franklin,0.713727
Groove Coverage,0.713675
Yiruma,0.71362
MØ,0.713467
Venom,0.713455
Def Leppard,0.71336
IZIA,0.713358
Nat King Cole,0.712937
Rod Stewart,0.712829
Israel Kamakawiwo'ole,0.712726
Adam Lambert,0.712555
Biffy Clyro,0.712507
Philip Sayce,0.712396
Black,0.712171
Johnny Hallyday,0.712162
Prince,0.711765
Nas,0.711734
Electric Light Orchestra,0.711651
Buena Vista Social Club,0.711601
Will Young,0.711593
Shlohmo,0.711425
Gary Clark Jr.,0.711386
John Williams,0.710448
Roger Waters,0.710297
Joan Manuel Serrat,0.710105
Willie Nelson,0.709912
Union J,0.709902
(null),0.709706
Texas,0.709034
The Kinks,0.708765
Leona Lewis,0.708673
Louis Armstrong,0.708503
Jimi Hendrix,0.708387
Lindsey Stirling,0.70828
Calle 13,0.707779
Calle 13 (FlowActivo.Com),0.707779
Sigur Rós,0.707416
IRA,0.70721
Ira!,0.70721
Sublime,0.706993
Twin Shadow,0.706725
Serebro,0.706251
Smallpools,0.706137
Sleeping at Last,0.706079
10 Years,0.705996
Two Steps from Hell,0.705886
Soundtrack,0.705557
Destiny's Child,0.705521
:Wumpscut:,0.705358
Aaron,0.705124
Active Child,0.704993
Soundgarden,0.704865
Ricardo Arjona,0.704638
성시경 (Sung Shi Kyung),0.704404
Eurythmics,0.704387
Andrés Calamaro,0.704317
Future Islands,0.703877
Caetano Veloso,0.703846
Haerts,0.703426
BUMP OF CHICKEN,0.70331
My Morning Jacket,0.703073
Robert Glasper Experiment,0.702837
BADBADNOTGOOD,0.702596
Alice Cooper,0.702379
Stratovarius,0.70235
Mecna,0.702285
Elliphant,0.702235
Dusty Springfield,0.702165
Nina Simone,0.702142
Kamelot,0.702117
Gigi D'Agostino,0.702107
The Temperance Movement,0.702029
Justin Townes Earle,0.701835
Gramatik,0.701788
Metric,0.701457
Lily Allen,0.701376
Mew,0.70132
Mac DeMarco,0.701087
Joni Mitchell,0.701016
Acid Black Cherry,0.700996
