id,title_list,year,thumb_small,poster,thumb
1054,Almost Royal,2014,//ezimg.ch/t/almost_royal/thumb_50_42.png,almost-royal-1054.jpg,//ezimg.ch/t/almost_royal/thumb_50_42.png
1675,Alone,2015,,alone-1675.jpg,/ezimg/thumbs/alone-1675.jpg
957,Alpha House,2013,//ezimg.ch/t/alpha_house/thumb_50_42.png,alpha-house-957.jpg,//ezimg.ch/t/alpha_house/thumb_50_42.png
501,Alphas,2011,//ezimg.ch/t/alphas/thumb_50_42.png,alphas-501.jpg,//ezimg.ch/t/alphas/thumb_50_42.png
1884,Alvinnn!!! And the Chipmunks,2015,,alvinnn-and-the-chipmunks-1884.jpg,/ezimg/thumbs/alvinnn-and-the-chipmunks-1884.jpg
1315,"Amazing Race Canada, The",2013,,the-amazing-race-canada-1315.jpg,/ezimg/thumbs/the-amazing-race-canada-1315.jpg
5,"Amazing Race, The",2001,//ezimg.ch/t/the_amazing_race/thumb_50_42.png,the-amazing-race-5.jpg,//ezimg.ch/t/the_amazing_race/thumb_50_42.png
1885,Amazing Spaces Shed of the Year,2014,,amazing-spaces-shed-of-the-year-1885.jpg,/ezimg/thumbs/amazing-spaces-shed-of-the-year-1885.jpg
1175,Amazon Studios Pilots,0,//ezimg.ch/t/amazon_studios_pilots/thumb_50_42.png,,//ezimg.ch/t/amazon_studios_pilots/thumb_50_42.png
922,Ambassadors,2013,//ezimg.ch/t/ambassadors/thumb_50_42.png,ambassadors-922.jpg,//ezimg.ch/t/ambassadors/thumb_50_42.png
6,American Chopper,2003,//ezimg.ch/t/american_chopper/thumb_50_42.png,american-chopper-the-series-6.jpg,//ezimg.ch/t/american_chopper/thumb_50_42.png
1148,American Crime,2015,//ezimg.ch/t/american_crime/thumb_50_42.png,american-crime-1148.jpg,//ezimg.ch/t/american_crime/thumb_50_42.png
1587,American Crime Story,2016,,american-crime-story-1587.jpg,/ezimg/thumbs/american-crime-story-1587.jpg
7,American Dad!,2005,//ezimg.ch/t/american_dad/thumb_50_42.png,american-dad-7.jpg,//ezimg.ch/t/american_dad/thumb_50_42.png
1887,American Experience,1988,,american-experience-1887.jpg,/ezimg/thumbs/american-experience-1887.jpg
8,American Gladiators,2008,//ezimg.ch/t/american_gladiators/thumb_50_42.png,american-gladiators-8.jpg,//ezimg.ch/t/american_gladiators/thumb_50_42.png
1743,American Gothic,2016,,american-gothic-1743.jpg,/ezimg/thumbs/american-gothic-1743.jpg
1708,American Greed,2007,,american-greed-1708.jpg,/ezimg/thumbs/american-greed-1708.jpg
1676,American Grit,2016,,american-grit-1676.jpg,/ezimg/thumbs/american-grit-1676.jpg
562,American Horror Story,2011,//ezimg.ch/t/american_horror_story/thumb_50_42.png,american-horror-story-562.jpg,//ezimg.ch/t/american_horror_story/thumb_50_42.png
1968,American Housewife,2016,,american-housewife-1968.jpg,/ezimg/thumbs/american-housewife-1968.jpg
9,American Idol,2002,//ezimg.ch/t/american_idol/thumb_50_42.png,american-idol-9.jpg,//ezimg.ch/t/american_idol/thumb_50_42.png
1709,American Monster,2016,,american-monster-1709.jpg,/ezimg/thumbs/american-monster-1709.jpg
1454,American Muscle,2014,,,
1343,American Ninja Warrior,2009,,american-ninja-warrior-1343.jpg,/ezimg/thumbs/american-ninja-warrior-1343.jpg
1216,American Odyssey,2015,//ezimg.ch/t/american_odyssey/thumb_50_42.png,american-odyssey-1216.jpg,//ezimg.ch/t/american_odyssey/thumb_50_42.png
