year,sex,rank,name,size,perc,total_size,total_perc
1989,M,10,Kyle,610,1.6,7481,19.4
1991,M,10,Nicholas,608,1.5,7370,18.0
1988,M,8,Justin,608,1.6,6286,16.9
1986,F,5,Sarah,607,1.8,3742,11.1
1983,M,9,Andrew,607,1.7,7575,21.4
1988,M,9,Kyle,606,1.6,6892,18.5
1992,M,7,Matthew,603,1.5,5100,12.4
1993,M,5,Christopher,601,1.5,3576,8.9
1985,M,9,Nicholas,599,1.7,7306,20.4
1981,M,10,Robert,597,1.7,8182,22.9
1998,M,2,Michael,596,1.5,1363,3.3
1992,M,8,Kyle,596,1.4,5696,13.8
1984,F,4,Sarah,595,1.8,2924,8.7
1992,M,9,Nicholas,591,1.4,6287,15.3
1981,M,11,Justin,591,1.7,8773,24.5
1988,F,4,Sarah,590,1.7,3219,9.1
1985,F,5,Sarah,588,1.7,3721,10.8
1988,M,10,Nicholas,587,1.6,7479,20.1
1996,M,4,Tyler,584,1.5,2657,6.6
1992,M,10,Brandon,584,1.4,6871,16.7
1983,M,10,Justin,580,1.6,8155,23.1
1980,F,4,Melissa,580,1.8,2945,8.9
1988,M,11,Daniel,579,1.6,8058,21.7
1986,M,9,Kyle,577,1.6,6962,19.6
1998,M,3,Austin,576,1.4,1939,4.7
1992,M,11,Ryan,576,1.4,7447,18.1
1982,M,10,James,575,1.6,8119,22.8
1984,M,9,Brandon,573,1.6,7330,20.7
1998,F,1,Emily,572,1.5,572,1.5
1992,M,12,David,572,1.4,8019,19.5
1981,F,4,Amanda,572,1.7,3177,9.3
1986,M,10,Nicholas,571,1.6,7533,21.2
1984,M,10,James,571,1.6,7901,22.3
1984,M,11,Jason,571,1.6,8472,23.9
1983,M,11,James,571,1.6,8726,24.7
1990,M,12,Daniel,570,1.4,8847,21.8
2002,M,1,Ethan,568,1.4,568,1.4
1987,F,5,Jennifer,568,1.7,3850,11.3
1985,M,10,James,568,1.6,7874,22.0
1982,M,11,Joseph,568,1.6,8687,24.4
1990,F,4,Sarah,567,1.5,3019,7.8
1983,F,4,Amanda,567,1.7,3101,9.3
1999,F,1,Emily,566,1.5,566,1.5
1995,M,6,Nicholas,566,1.4,3935,10.0
1993,M,6,Andrew,566,1.4,4142,10.3
1993,M,7,Nicholas,566,1.4,4708,11.7
1989,M,11,Tyler,566,1.5,8047,20.8
1983,M,12,Joseph,566,1.6,9292,26.3
1996,M,5,Joshua,563,1.4,3220,8.0
1994,M,6,Andrew,562,1.4,4054,10.2
1997,M,4,Andrew,561,1.4,2553,6.4
1991,M,11,David,561,1.4,7931,19.4
1991,M,12,Daniel,560,1.4,8491,20.8
1988,M,12,James,560,1.5,8618,23.2
1990,M,13,Justin,559,1.4,9406,23.1
1986,M,11,Brandon,558,1.6,8091,22.8
1983,M,13,Nicholas,558,1.6,9850,27.9
2000,F,1,Emily,556,1.4,556,1.4
1981,M,12,Joseph,556,1.6,9329,26.1
1980,M,11,John,556,1.6,8680,24.9
1980,M,12,Robert,555,1.6,9235,26.5
1982,M,12,Robert,553,1.6,9240,26.0
2003,F,1,Emma,552,1.4,552,1.4
1993,M,8,Ryan,552,1.4,5260,13.1
1991,F,4,Samantha,550,1.4,2929,7.5
1990,M,14,James,550,1.4,9956,24.5
1983,M,14,Brandon,550,1.6,10400,29.4
1980,M,13,Joseph,550,1.6,9785,28.1
1993,M,9,Brandon,549,1.4,5809,14.4
1989,M,12,Justin,549,1.4,8596,22.3
1993,M,10,Zachary,548,1.4,6357,15.8
1985,M,11,Brandon,547,1.5,8421,23.5
1994,F,2,Emily,546,1.4,1233,3.3
1994,M,7,Christopher,546,1.4,4600,11.6
1982,F,4,Amanda,546,1.6,3105,9.1
1981,F,5,Melissa,546,1.6,3723,11.0
1993,M,11,Kyle,545,1.4,6902,17.1
1991,F,5,Sarah,545,1.4,3474,8.9
2003,M,1,Jacob,544,1.3,544,1.3
1990,M,15,Jordan,544,1.3,10500,25.8
1989,M,13,Jacob,544,1.4,9140,23.7
1987,M,11,Nicholas,544,1.5,8132,22.5
1993,M,12,Alexander,543,1.3,7445,18.5
1992,M,13,Zachary,543,1.3,8562,20.8
1981,M,13,John,542,1.5,9871,27.6
