origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","GRIA","Grand Island","40.922222","-98.358056","","","","1299.44","",
"SFOA","ILEA","Killeen","31.106574","-97.702222","","","","1476.66","",
"SFOA","GRRA","Grand Rapids","42.96125","-85.655719","","","","1951.93","",
"SFOA","GSOA","Greensboro / High Point","36.074771","-79.791298","412","","412","2336.84","0.18",
"SFOA","GSPA","Greenville","34.851666","-82.314444","385","","385","2224.75","0.17",
"SFOA","GTFA","Great Falls","47.492778","-111.325138","","","","874.75","",
"SFOA","UBSA","Columbus","33.497316","-88.430328","","","","1920.56","",
"SFOA","GUCA","","","","","","","","",
"SFOA","HDNA","Hayden","40.483333","-107.216667","","","","834.75","",
"SFOA","HHHA","Hilton Head","32.216667","-80.683333","533","","533","2373.34","0.22",
"SFOA","HIBA","","","","","","","","",
"SFOA","HLNA","Helena","46.598978","-112.037888","303","","303","807.12","0.38",
"SFOA","HNLA","Honolulu","21.32125","-157.894167","","462","462","2395.98","0.19",
"SFOA","HOBA","","","","","","","","",
"SFOA","HPNA","Westchester County","41.03899","-73.74763","377","","377","2574.18","0.15",
"SFOA","HRLA","Harlingen","26.233333","-97.65","422","","422","1648.44","0.26",
"SFOA","HSVA","Huntsville","34.73037","-86.5861","","","","1995.27","",
"SFOA","HTSA","Ashland","38.47841","-82.63794","","","","2145.51","",
"SFOA","HVNA","New Haven","41.30815","-72.92816","412","","412","2612.28","0.16",
"SFOA","HYAA","","","","733","","733","","",
"SFOA","HYSA","Hays","38.846111","-99.274167","","","","1253.52","",
"SFOA","ICTA","Wichita","37.679243","-97.342791","391","","391","1366.15","0.29",
"SFOA","IDAA","Idaho Falls","43.516111","-112.064722","410","","410","671.26","0.61",
"SFOA","IFPA","","","","","","","","",
"SFOA","ILMA","Wilmington","34.266944","-77.903889","","","","2475.89","",
"SFOA","IMTA","","","","","","","","",
"SFOA","INDA","Indianapolis","39.790942","-86.147685","257","389","389","1945.01","0.20",
"SFOA","INLA","International Falls","48.563056","-93.404167","","","","1627.27","",
"SFOA","IPTA","","","","","","","","",
"SFOA","ISNA","","","","","","","","",
"SFOA","ISPA","Islip","40.756667","-73.198889","493","","493","2606.19","0.19",
"SFOA","ITHA","Ithaca","42.490278","-76.458056","537","","537","2419.56","0.22",
"SFOA","ITOA","Hilo","19.723611","-155.058056","636","","636","2318.95","0.27",
"SFOA","JACA","Jackson","43.47993","-110.76243","530","","530","726.07","0.73",
"SFOA","JANA","Jackson","32.300483","-90.184364","454","","454","1852.71","0.25",
"SFOA","JAXA","Jacksonville","30.337621","-81.655884","395","","395","2369.79","0.17",
"SFOA","JHMA","Kapalua","20.996667","-156.653056","696","","696","2345.32","0.30",
"SFOA","JLNA","Joplin","37.149722","-94.497778","","","","1526.09","",
"SFOA","JMSA","Jamestown","46.912223","-98.707438","","","","1357.87","",
"SFOA","JNUA","Juneau","58.301944","-134.419722","493","","493","1517.08","0.32",
"SFOA","KOAA","Kona","19.64056","-155.99556","562","","562","2369.75","0.24",
"SFOA","KTNA","","","","","","","","",
"SFOA","LANA","Lansing","42.779167","-84.588333","546","","546","2006.48","0.27",
"SFOA","LARA","Laramie","41.313611","-105.673056","571","","571","923.32","0.62",
"SFOA","LASA","Las Vegas","36.176","-115.137","","67","67","416.79","0.16",
"SFOA","LAWA","Lawton","34.569722","-98.416111","","","","1353.07","",
"SFOA","LAXA","Los Angeles","34.047889","-118.235027","","106","106","348.17","0.30",
"SFOA","LBBA","Lubbock","33.622777","-101.836389","","","","1187.30","",
"SFOA","LCHA","Lake Charles","30.131111","-93.225556","803","","803","1746.21","0.46",
"SFOA","LEBA","Lebanon","43.628056","-72.305833","","","","2615.41","",
"SFOA","LEXA","Lexington","38.045928","-84.501343","","","","2052.32","",
"SFOA","LFTA","Lafayette","30.213889","-92.029444","","","","1808.41","",
"SFOA","LGBA","Long Beach","33.8175","-118.151111","","91","91","363.40","0.25",
"SFOA","LIHA","Kauai Island","22.148616","-159.312057","574","608","608","2436.86","0.25",
"SFOA","LITA","Little Rock","34.729167","-92.234444","","","","1687.49","",
"SFOA","LMTA","Klamath Falls","42.163056","-121.735833","626","","626","305.02","2.05",
"SFOA","LNKA","Lincoln","40.8","-96.66696","","","","1387.64","",
"SFOA","LNYA","Lanai City","20.784722","-156.949444","720","","720","2369.41","0.30",
"SFOA","LRDA","Laredo","27.544722","-99.461111","","","","1505.16","",
"SFOA","LSEA","La Crosse","43.877222","-91.256389","","","","1671.88","",
"SFOA","LWSA","Lewiston","46.406144","-117.000275","","","","657.20","",
"SFOA","LYHA","Lynchburg","37.403672","-79.170205","442","","442","2346.19","0.19",
"SFOA","MAFA","Midland","31.970416","-102.100694","","","","1216.58","",
"SFOA","MBSA","Midland","43.622407","-84.243164","569","","569","2021.42","0.28",
"SFOA","MKCA","Kansas City","39.025069","-94.737986","245","","245","1495.46","0.16",
"SFOA","HARA","Harrisburg","40.2737","-76.88442","400","","400","2423.12","0.17",
"SFOA","CHIA","Chicago","41.881944","-87.627778","240","355","355","1854.62","0.19",
"SFOA","MEIA","","","","471","","471","","",
"SFOA","MEMA","Memphis","35.14953","-90.04898","311","","311","1798.78","0.17",
"SFOA","MFEA","Mcallen","26.258333","-98.286111","645","","645","1615.26","0.40",
"SFOA","MFRA","Medford","42.329235","-122.87693","266","399","399","315.28","1.27",
"SFOA","MGMA","Montgomery","32.355555","-86.341481","","","","2061.18","",
"SFOA","MHKA","Manhattan","39.18361","-96.57167","","","","1396.58","",
"SFOA","MHTA","Manchester","42.938333","-71.438889","392","","392","2666.25","0.15",
"SFOA","MKEA","Milwaukee","43","-88","","388","388","1833.41","0.21",
"SFOA","MKGA","Muskegon","43.170556","-86.2375","610","","610","1922.16","0.32",
"SFOA","MKKA","","","","593","","593","","",
"SFOA","MLBA","Melbourne","28.1025","-80.630278","318","","318","2491.34","0.13",
"SFOA","MLIA","Moline","41.448889","-90.505","","","","1707.55","",
"SFOA","MLUA","Monroe","32.50931","-92.1193","","","","1742.04","",
"SFOA","MMHA","Mammoth Lakes","37.648611","-118.971944","","","","188.62","",
"SFOA","MOBA","Mobile","30.694444","-88.043056","380","","380","2011.40","0.19",
"SFOA","MOTA","Minot","48.246527","-101.290416","482","","482","1282.51","0.38",
"SFOA","MQTA","Marquette","46.546389","-87.406667","6676","","6676","1874.71","3.56",
"SFOA","MSNA","Madison","43.083333","-89.366667","266","","266","1764.41","0.15",
"SFOA","MSOA","Missoula","46.915556","-114.0875","","","","760.23","",
"SFOA","MSPA","Minneapolis","44.972944","-93.181","","","","1585.15","",
"SFOA","MSYA","New Orleans","29.944444","-90.011111","","448","448","1925.64","0.23",
"SFOA","MTJA","Montrose","38.500556","-107.894722","531","","531","790.00","0.67",
"SFOA","MVYA","Martha's Vineyard","41.385567","-70.675392","","","","2725.52","",
"SFOA","MYRA","Myrtle Beach","33.745278","-78.827083","","","","2437.71","",
"SFOA","OAJA","Jacksonville","34.75741","-77.422028","","","","2491.11","",
"SFOA","OGGA","Kahului","20.900556","-156.433611","","422","422","2338.09","0.18",
"SFOA","OKCA","Oklahoma City","35.431389","-97.512916","","331","331","1386.72","0.24",
"SFOA","OMAA","Omaha","41.302222","-95.894305","242","269","269","1428.29","0.19",
"SFOA","ONTA","Ontario","34.061944","-117.629028","","124","124","371.10","0.33",
"SFOA","ORFA","Norfolk","36.84681","-76.28522","415","","415","2509.65","0.17",
"SFOA","ORHA","","","","809","","809","","",
"SFOA","OTHA","North Bend","43.418889","-124.24","","340","340","401.15","0.85",
"SFOA","PAHA","Paducah","37.072222","-88.6275","","","","1844.54","",
"SFOA","PBIA","West Palm Beach","26.699444","-80.072083","329","","329","2566.27","0.13",
"SFOA","PDXA","Portland","45.52345","-122.67621","","114","114","535.21","0.21",
"SFOA","PGAA","Page","36.926389","-111.447222","","","","605.11","",
"SFOA","PGVA","Greenville","35.633333","-77.385278","","","","2474.68","",
"SFOA","PHFA","Newport News","36.978611","-76.428333","","","","2499.57","",
"SFOA","PHLA","Philadelphia","39.993222","-75.112888","265","464","464","2518.68","0.18",
"SFOA","PHXA","Phoenix","33.4482","-112.0738","","","","653.05","",
"SFOA","PIAA","Peoria","40.69365","-89.58899","","","","1758.05","",
"SFOA","LULA","Laurel","31.69405","-89.13061","631","","631","1925.47","0.33",
"SFOA","PIHA","Pocatello","42.875222","-112.447278","763","","763","631.64","1.21",
"SFOA","PITA","Pittsburgh","40.441667","-80","313","425","425","2259.63","0.19",
"SFOA","PLNA","Pellston","45.55279","-84.78394","","","","1995.24","",
"SFOA","PNSA","Pensacola","30.458541","-87.195416","435","","435","2064.13","0.21",
"SFOA","PRCA","","","","","","","","",
"SFOA","PSCA","Pasco","46.263889","-119.114722","186","363","363","610.09","0.59",
"SFOA","PSPA","Palm Springs","33.823889","-116.530278","","223","223","428.29","0.52",
"SFOA","PUBA","","","","757","","757","","",
"SFOA","PUWA","Pullman","46.73127","-117.17962","312","","312","673.64","0.46",
"SFOA","PVCA","Provincetown","42.064077","-70.182381","550","","550","2740.57","0.20",
"SFOA","PVDA","Providence","41.823611","-71.422222","","","","2681.52","",
"SFOA","PWMA","Portland","43.662159","-70.252719","","","","2716.32","",
"SFOA","RAPA","Rapid City","44.076188","-103.228299","","","","1088.79","",
"SFOA","RDMA","Redmond","44.254444","-121.151389","","265","265","452.21","0.59",
"SFOA","RHIA","Rhinelander","45.639368","-89.411716","","","","1772.54","",
"SFOA","RICA","Richmond","37.550021","-77.46254","418","","418","2434.39","0.17",
"SFOA","RIWA","","","","","","","","",
"SFOA","RKDA","Rockland","44.059167","-69.098056","","","","2768.24","",
"SFOA","RKSA","","","","","","","","",
"SFOA","ROAA","Roanoke","37.324722","-79.976389","","","","2304.59","",
"SFOA","ROCA","Rochester","43.121389","-77.670833","349","","349","2353.05","0.15",
"SFOA","ROWA","Roswell","33.387222","-104.528056","","","","1048.15","",
"SFOA","RSTA","Rochester","43.963472","-92.481528","","","","1611.54","",
"SFOA","FMYA","Fort Myers","26.55975","-81.810917","","","","2476.32","",
"SFOA","RUTA","Rutland","43.529444","-72.948333","562","","562","2584.65","0.22",
"SFOA","ZSHA","Santa Fe","35.667222","-105.964444","","","","921.59","",
"SFOA","SANA","San Diego","32.790158","-117.124682","","111","111","455.87","0.24",
"SFOA","SATA","San Antonio","29.441","-98.494388","245","","245","1486.83","0.16",
"SFOA","SAVA","Savannah","32.105277","-81.149722","400","","400","2350.70","0.17",
"SFOA","SBAA","Santa Barbara","34.425833","-119.714167","335","407","407","276.52","1.47",
"SFOA","SBNA","South Bend","41.704444","-86.3125","452","","452","1922.99","0.24",
