airline,country,status
Heli Malongo,Angola,Active
HeliAng,Angola,Active
Heliopolis Airlines,Egypt,Inactive
Helios Airways,Cyprus,Inactive
Helitrans,Norway,Inactive
Helitt Lineas Aereas,Spain,Active
Hellas Jet,Greece,Inactive
Hellenic Air Force,Greece,Inactive
Hellenic Imperial Airways,Greece,Active
Hellenic Star Airways,Greece,Inactive
Hello,Switzerland,Inactive
Helvetic,Switzerland,Active
Hemus Air,Bulgaria,Active
Henan Airlines,China,Inactive
Hendrick Motorsports,USA,Active
Henson Airlines,USA,Inactive
Heritage Air,Malaysia,Inactive
Hermes Airlines,Greece,Active
Hermes Aviation,Malta,Active
Hevi Lift,Papua New Guinea,Active
Hewa Bora Airways,"Congo, Democratic Republic of",Inactive
Hex Air,France,Active
HiFly,Portugal,Active
HiFly Malta,Malta,Active
Highland Express,United Kingdom,Inactive
Hispania Airlines,Spain,Inactive
HMY Airways,Canada,Inactive
Hokkaido Air System,Japan,Active
Hokkaido Int Airlines - Air Do,Japan,Active
Hola Airlines,Spain,Inactive
Hold Trade Air,Niger,Inactive
Holiday Air,Turkey,Inactive
Holidays Czech Airlines,Czech Republic,Active
Henan Airlines,China,Inactive
Hendrick Motorsports,USA,Active
Henson Airlines,USA,Inactive
Heritage Air,Malaysia,Inactive
Hermes Airlines,Greece,Active
Hermes Aviation,Malta,Active
Hevi Lift,Papua New Guinea,Active
Hewa Bora Airways,"Congo, Democratic Republic of",Inactive
Hex Air,France,Active
HiFly,Portugal,Active
HiFly Malta,Malta,Active
Highland Express,United Kingdom,Inactive
Hispania Airlines,Spain,Inactive
HMY Airways,Canada,Inactive
Hokkaido Air System,Japan,Active
Hokkaido Int Airlines - Air Do,Japan,Active
Hola Airlines,Spain,Inactive
Hold Trade Air,Niger,Inactive
Holiday Air,Turkey,Inactive
Holidays Czech Airlines,Czech Republic,Active
Holland Aerolines,Netherlands,Inactive
Holland Exel,Netherlands,Inactive
Hong Kong Airlines,Hong-Kong,Active
Hong Kong Express Airways,Hong-Kong,Active
Hongkong Jet,Hong-Kong,Active
Hooters Air,USA,Inactive
Hop!,France,Inactive
Horizon Air,USA,Active
Hunnu Air,Mongolia,Active
Hunting Cargo Airlines,United Kingdom,Inactive
Hydro Air,South Africa,Inactive
Hydro-Quebec,Canada,Active
Holland Aerolines,Netherlands,Inactive
Holland Exel,Netherlands,Inactive
Hong Kong Airlines,Hong-Kong,Active
Hong Kong Express Airways,Hong-Kong,Active
Hongkong Jet,Hong-Kong,Active
Hooters Air,USA,Inactive
Hop!,France,Inactive
Horizon Air,USA,Active
Hunnu Air,Mongolia,Active
Hunting Cargo Airlines,United Kingdom,Inactive
Hydro Air,South Africa,Inactive
Hydro-Quebec,Canada,Active
I-Fly,Russia,Active
IAI Israel,Israel,Inactive
IAL,USA,Inactive
IBC Airways,USA,Active
Iberia,Spain,Active
Iberia Express,Spain,Active
Iberline,Spain,Inactive
Ibertrans,Spain,Inactive
Iberworld,Spain,Inactive
Ibex Airlines,Japan,Active
Icar Air,Bosnia-Hercegovina,Inactive
Icaro,Ecuador,Inactive
Icaro Express,Ecuador,Active
ICC Cargo,Canada,Inactive
Iceland Express,Iceland,Inactive
Icelandair,Iceland,Active
Icelandic Coast Guard,Iceland,Active
Icelandic MD Airlines,Iceland,Inactive
Ikar,Russia,Active
Illyrian airways,Republic of Kosovo,Inactive
IMD Airways,Spain,Inactive
Impala Air,Burundi,Inactive
Imperial Air Cargo,South Africa,Active
ImperialJet,Lebanon,Inactive
Impulse Airlines,Australia,Inactive
Independence Air,USA,Inactive
Indian Air Force,India,Active
Indian Airlines,India,Inactive
Indigo,India,Active
Indigo Air,USA,Inactive
Indochina Airlines,Vietnam,Inactive
Indonesia Air Transport,Indonesia,Active
Indonesia Airasia,Indonesia,Active
Indonesian Air Force,Indonesia,Active
Indonesian Airlines,Indonesia,Inactive
Indus Airways,India,Inactive
Inex Adria Airways,Yugoslavia,Inactive
Inner Mongolian Airlines,China,Inactive
Insel Air International,Netherlands Antilles,Active
InselAir Aruba,Aruba,Active
IMD Airways,Spain,Inactive
Impala Air,Burundi,Inactive
Imperial Air Cargo,South Africa,Active
ImperialJet,Lebanon,Inactive
Impulse Airlines,Australia,Inactive
Independence Air,USA,Inactive
Indian Air Force,India,Active
Indian Airlines,India,Inactive
Indigo,India,Active
Indigo Air,USA,Inactive
Indochina Airlines,Vietnam,Inactive
Indonesia Air Transport,Indonesia,Active
Indonesia Airasia,Indonesia,Active
Indonesian Air Force,Indonesia,Active
Indonesian Airlines,Indonesia,Inactive
Indus Airways,India,Inactive
Inex Adria Airways,Yugoslavia,Inactive
Inner Mongolian Airlines,China,Inactive
Insel Air International,Netherlands Antilles,Active
InselAir Aruba,Aruba,Active
Intair,Canada,Inactive
Intal Air,Kyrgyzstan,Active
Intel Air Shuttle Aircraft,USA,Active
Inter Air Services,Algeria,Inactive
Inter America,Mexico,Inactive
Inter Canadian,Canada,Inactive
Inter Cargo,France,Inactive
Inter European,United Kingdom,Inactive
Inter European Airlines,United Kingdom,Inactive
Inter Express Airlines,Turkey,Inactive
Inter Iles Air,Comoros,Inactive
Inter Island Airlines,Cape Verde,Inactive
Interair South African,South Africa,Active
Interbrasil Star,Brazil,Inactive
Intercontinental,Colombia,Inactive
Interflug,Germany,Inactive
Interjet ABC,Mexico,Active
InterJet Hellenic,Greece,Inactive
Interlink Airlines,South Africa,Inactive
Intermediacion,Spain,Inactive
Intair,Canada,Inactive
Intal Air,Kyrgyzstan,Active
Intel Air Shuttle Aircraft,USA,Active
Inter Air Services,Algeria,Inactive
Inter America,Mexico,Inactive
Inter Canadian,Canada,Inactive
Inter Cargo,France,Inactive
Inter European,United Kingdom,Inactive
Inter European Airlines,United Kingdom,Inactive
Inter Express Airlines,Turkey,Inactive
Inter Iles Air,Comoros,Inactive
Inter Island Airlines,Cape Verde,Inactive
Interair South African,South Africa,Active
Interbrasil Star,Brazil,Inactive
Intercontinental,Colombia,Inactive
Interflug,Germany,Inactive
Interjet ABC,Mexico,Active
InterJet Hellenic,Greece,Inactive
Interlink Airlines,South Africa,Inactive
Intermediacion,Spain,Inactive
International Air Services,Liberia,Inactive
International Business Air,Sweden,Active
International Caribbean Airways,Barbados,Inactive
Interot,Germany,Inactive
Intersky,Austria,Active
Interstate,Netherlands,Inactive
Ion Tiriac,Romania,Inactive
IrAero,Russia,Active
Iran Air,Iran,Active
Iran Air Force,Iran,Active
Iran Air Tour,Iran,Active
Iran Aseman Airlines,Iran,Active
Iranian Air Transport,Iran,Inactive
Iranian Gvmt,Iran,Active
Iraqi Airways,Iraq,Active
Iraqi Gvmt,Iraq,Active
IRS Airlines,Nigeria,Active
ISD Avia,Ukraine,Active
Islamic Rep of Iran,Iran,Inactive
Island Air,USA,Active
International Air Services,Liberia,Inactive
International Business Air,Sweden,Active
International Caribbean Airways,Barbados,Inactive
Interot,Germany,Inactive
Intersky,Austria,Active
Interstate,Netherlands,Inactive
Ion Tiriac,Romania,Inactive
IrAero,Russia,Active
Iran Air,Iran,Active
Iran Air Force,Iran,Active
Iran Air Tour,Iran,Active
Iran Aseman Airlines,Iran,Active
Iranian Air Transport,Iran,Inactive
Iranian Gvmt,Iran,Active
Iraqi Airways,Iraq,Active
Iraqi Gvmt,Iraq,Active
IRS Airlines,Nigeria,Active
ISD Avia,Ukraine,Active
Islamic Rep of Iran,Iran,Inactive
Island Air,USA,Active
Island Aviation Services,Maldives,Inactive
Island Transvoyageur,Philippines,Active
Islandsflug,Iceland,Inactive
Islas Airways,Spain,Inactive
Islena Airlines,Honduras,Active
Israir,Israel,Active
Istanbul Airlines,Turkey,Inactive
Italair,Italy,Inactive
ItAli Airlines,Italy,Inactive
Italian Air Force,Italy,Active
Italiatour Airlines,Italy,Inactive
Italjet,Italy,Inactive
Italy First,Italy,Inactive
Itek Air,Kyrgyzstan,Active
Izmir Airlines,Turkey,Active
Island Aviation Services,Maldives,Inactive
Island Transvoyageur,Philippines,Active
Islandsflug,Iceland,Inactive
Islas Airways,Spain,Inactive
Islena Airlines,Honduras,Active
Israir,Israel,Active
Istanbul Airlines,Turkey,Inactive
Italair,Italy,Inactive
ItAli Airlines,Italy,Inactive
Italian Air Force,Italy,Active
Italiatour Airlines,Italy,Inactive
Italjet,Italy,Inactive
Italy First,Italy,Inactive
Itek Air,Kyrgyzstan,Active
Izmir Airlines,Turkey,Active
J-Air,Japan,Active
Jade Cargo International,China,Inactive
Jagson Airlines,India,Inactive
JAL Express,Japan,Active
JAL Ways,Japan,Inactive
Japan Air Charter,Japan,Inactive
Japan Air Commuter,Japan,Active
Japan Air System,Japan,Inactive
Japan Airlines,Japan,Active
Japan Airlines Domestic,Japan,Inactive
Japan Asia Airways,Japan,Inactive
Japan Civil Aviation Bureau,Japan,Active
Japan Coast Guard,Japan,Active
Japan Transocean,Japan,Active
Japanese Air Self Defence Force,Japan,Active
Japanese Gvmt,Japan,Inactive
JAT Airways,Serbia,Inactive
Jatayu Air,Indonesia,Inactive
Jazeera Airways,Kuwait,Active
Jazz Air,Canada,Active
Jeju Air,South Korea,Active
Jerdan Bermuda,Bermuda,Inactive
Jersey European Airways,United Kingdom,Inactive
Jes Air,Bulgaria,Inactive
Jet 4 Now,South Africa,Active
Jet Air,Poland,Inactive
Jet Airways,India,Active
Jet Alliance,Austria,Active
Jet Alsace,France,Inactive
Jet America Airlines,USA,Inactive
Jet Asia Airways,Thailand,Active
Jet Aviation Business Jet,Switzerland,Active
Jet East,USA,Inactive
Jet Express,USA,Inactive
Jet Fleet,USA,Inactive
Jet Link Holland,Netherlands,Inactive
Jet Magic,Malta,Active
Jet Star,Moldavia,Active
Jet Way,USA,Inactive
Jet2,United Kingdom,Active
Jeju Air,South Korea,Active
Jerdan Bermuda,Bermuda,Inactive
Jersey European Airways,United Kingdom,Inactive
Jes Air,Bulgaria,Inactive
Jet 4 Now,South Africa,Active
Jet Air,Poland,Inactive
Jet Airways,India,Active
Jet Alliance,Austria,Active
Jet Alsace,France,Inactive
Jet America Airlines,USA,Inactive
Jet Asia Airways,Thailand,Active
Jet Aviation Business Jet,Switzerland,Active
Jet East,USA,Inactive
Jet Express,USA,Inactive
Jet Fleet,USA,Inactive
Jet Link Holland,Netherlands,Inactive
Jet Magic,Malta,Active
Jet Star,Moldavia,Active
Jet Way,USA,Inactive
Jet2,United Kingdom,Active
Jet4you,Morocco,Inactive
JetairFly,Belgium,Active
Jetall,Canada,Inactive
JetBlue Airways,USA,Active
JetClub,Switzerland,Inactive
Jetconnect - Qantas NZ,New Zealand,Active
Jetcraft Aviation,Australia,Inactive
JetGo Australia,Australia,Active
Jetisfaction,Germany,Inactive
JetKonnect,India,Active
Jetlease Air Cargo,USA,Inactive
Jetlink Air,Kenya,Active
JetLite,India,Inactive
JetMagic,Ireland,Inactive
JetranAir,Romania,Active
Jetsgo,Canada,Inactive
Jetstar,Australia,Active
Jetstar Asia,Singapore,Active
Jetstar Hong Kong ,Hong-Kong,Inactive
Jetstar Japan,Japan,Active
Jet4you,Morocco,Inactive
JetairFly,Belgium,Active
Jetall,Canada,Inactive
JetBlue Airways,USA,Active
JetClub,Switzerland,Inactive
Jetconnect - Qantas NZ,New Zealand,Active
Jetcraft Aviation,Australia,Inactive
JetGo Australia,Australia,Active
Jetisfaction,Germany,Inactive
JetKonnect,India,Active
Jetlease Air Cargo,USA,Inactive
Jetlink Air,Kenya,Active
JetLite,India,Inactive
JetMagic,Ireland,Inactive
JetranAir,Romania,Active
Jetsgo,Canada,Inactive
Jetstar,Australia,Active
Jetstar Asia,Singapore,Active
Jetstar Hong Kong ,Hong-Kong,Inactive
Jetstar Japan,Japan,Active
Jetstar Pacific,Vietnam,Active
Jetstream International Airlines,USA,Inactive
Jett8 Airlines Cargo,Singapore,Inactive
Jettime,Denmark,Active
Jettime Finland,Finland,Active
JetX,Iceland,Inactive
JHM Cargo,Costa Rica,Inactive
Jhonlin Air Transport,Indonesia,Active
Jin Air,South Korea,Active
JMC Airlines,United Kingdom,Inactive
Job Air,Czech Republic,Inactive
Jones Chris,USA,Inactive
Jordan Aviation,Jordan,Active
Jordanian Gvmt,Jordan,Active
Jubba Airways,Somalia,Active
Jumbo Jet,USA,Inactive
Juneyao Airlines,China,Active
JUST,Japan,Inactive
Jetstar Pacific,Vietnam,Active
Jetstream International Airlines,USA,Inactive
Jett8 Airlines Cargo,Singapore,Inactive
Jettime,Denmark,Active
Jettime Finland,Finland,Active
JetX,Iceland,Inactive
JHM Cargo,Costa Rica,Inactive
Jhonlin Air Transport,Indonesia,Active
Jin Air,South Korea,Active
JMC Airlines,United Kingdom,Inactive
Job Air,Czech Republic,Inactive
Jones Chris,USA,Inactive
Jordan Aviation,Jordan,Active
Jordanian Gvmt,Jordan,Active
Jubba Airways,Somalia,Active
Jumbo Jet,USA,Inactive
Juneyao Airlines,China,Active
JUST,Japan,Inactive
Kabo Air,Nigeria,Active
Kaiken Lineas Aereas,Argentina,Inactive
Kairways,USA,Inactive
Kaiser Air,USA,Active
Kalair,USA,Active
Kalitta Air,USA,Active
Kallat El Saker Air,Libya,Active
KalStar Aviation,Indonesia,Active
Kam Air,Afghanistan,Active
Kampuchea Airlines,Cambodia,Inactive
Kar-air,Finland,Inactive
Karibu Airways,Ethiopia,Inactive
Karinous Airlines,Central African Republic,Active
Karthago Airlines,Tunisia,Inactive
Kartika Airlines,Indonesia,Inactive
Kaya Airlines,Mozambique,Active
Kaz Air Trans,Kazakhstan,Inactive
Kazakstan Airlines,Kazakhstan,Inactive
Kazakstan Gvmt,Kazakhstan,Active
KD Avia,Russia,Inactive
Kelowna Flightcraft,Canada,Active
Kendell Airlines,Australia,Inactive
Kenya Air Force,Kenya,Active
Kenya Airways,Kenya,Active
Kenya Flamingo Airways,Kenya,Inactive
Key Airlines,USA,Inactive
Key Lime Air,USA,Active
Keyway Air Transport,USA,Inactive
Khalifa Airways,Algeria,Inactive
Kharkiv Airlines,Ukraine,Active
Khors Air,Ukraine,Active
Khozu Avia,Kazakhstan,Active
Kibris Turk Hava Yollari (KTHY),Turkey,Inactive
Kingfisher Airlines,India,Inactive
Kingfisher Red,India,Inactive
Kinshasa Airways,Congo,Inactive
Kish Air,Iran,Active
Kitty Hawk,USA,Inactive
Kiwi Int Airlines,USA,Inactive
KLM,Netherlands,Active
Kelowna Flightcraft,Canada,Active
Kendell Airlines,Australia,Inactive
Kenya Air Force,Kenya,Active
Kenya Airways,Kenya,Active
Kenya Flamingo Airways,Kenya,Inactive
Key Airlines,USA,Inactive
Key Lime Air,USA,Active
Keyway Air Transport,USA,Inactive
Khalifa Airways,Algeria,Inactive
Kharkiv Airlines,Ukraine,Active
Khors Air,Ukraine,Active
Khozu Avia,Kazakhstan,Active
Kibris Turk Hava Yollari (KTHY),Turkey,Inactive
Kingfisher Airlines,India,Inactive
Kingfisher Red,India,Inactive
Kinshasa Airways,Congo,Inactive
Kish Air,Iran,Active
Kitty Hawk,USA,Inactive
Kiwi Int Airlines,USA,Inactive
KLM,Netherlands,Active
KLM Cityhopper,Netherlands,Active
KLM Exel,Netherlands,Inactive
KLM uk,United Kingdom,Inactive
Kolavia,Russia,Active
Koral Blue,Egypt,Inactive
Korean Air,South Korea,Active
Korongo Airlines,"Congo, Democratic Republic of",Active
Kosova Airlines,Yugoslavia,Inactive
Kostar Airlines,South Korea,Inactive
Kras Air,Russia,Inactive
Kuban Airlines,Russia,Inactive
Kulula,South Africa,Active
Kunming Airlines,China,Active
Kunpeng Airlines,China,Inactive
Kurdistan Airlines,Iraq,Inactive
Kuwait Airways,Kuwait,Active
Kuzu Airlines Cargo,Turkey,Active
Kyrgyz Airways,Kyrgyzstan,Active
Kyrgyzstan Aircompany,Kyrgyzstan,Active
Kyrnair,France,Inactive
KLM Cityhopper,Netherlands,Active
KLM Exel,Netherlands,Inactive
KLM uk,United Kingdom,Inactive
Kolavia,Russia,Active
Koral Blue,Egypt,Inactive
Korean Air,South Korea,Active
Korongo Airlines,"Congo, Democratic Republic of",Active
Kosova Airlines,Yugoslavia,Inactive
Kostar Airlines,South Korea,Inactive
Kras Air,Russia,Inactive
Kuban Airlines,Russia,Inactive
Kulula,South Africa,Active
Kunming Airlines,China,Active
Kunpeng Airlines,China,Inactive
Kurdistan Airlines,Iraq,Inactive
Kuwait Airways,Kuwait,Active
Kuzu Airlines Cargo,Turkey,Active
Kyrgyz Airways,Kyrgyzstan,Active
Kyrgyzstan Aircompany,Kyrgyzstan,Active
Kyrnair,France,Inactive
L Aeropostale,France,Inactive
La Costena,Nicaragua,Active
La Tur Charter,Mexico,Inactive
LABoliviano,Bolivia,Inactive
Labrador Airways,Canada,Active
LAC,Spain,Inactive
LACSA,Costa Rica,Inactive
LADECO,Chile,Inactive
LADS,Australia,Active
LAER,Argentina,Inactive
Lagun Air,Spain,Inactive
Laker Airways,USA,Inactive
LAM Linhas Aereas De Mocambique,Mozambique,Active
LAMIA,Venezuela,Active
LAN Airlines,Chile,Active
LAN Argentina,Argentina,Active
LAN Cargo,Chile,Active
LAN Chile,Chile,Inactive
LAN Colombia,Colombia,Active
LAN Ecuador,Ecuador,Active
LAN Express,Chile,Inactive
LAN Peru,Peru,Active
Lanco,Colombia,Active
Lao Airlines,Laos,Active
Lao Aviation,Laos,Inactive
Lao Central Airlines,Laos,Active
LAPA,Argentina,Inactive
LAPSA Air Paraguay,Paraguay,Inactive
LAR,Portugal,Inactive
LAR European Airlines,Romania,Inactive
Laser Airlines,Venezuela,Active
LAT Charter Airlines,Latvia,Inactive
Latinair Cargo,Brazil,Inactive
Lauda Air,Austria,Inactive
Lauda Air Italy,Italy,Inactive
LC Peru,Peru,Active
Leal Lineas Aereas,Argentina,Inactive
Lease Fly,Portugal,Active
Leisure Air,United Kingdom,Inactive
Lequios Airlines,Japan,Inactive
LAN Express,Chile,Inactive
LAN Peru,Peru,Active
Lanco,Colombia,Active
Lao Airlines,Laos,Active
Lao Aviation,Laos,Inactive
Lao Central Airlines,Laos,Active
LAPA,Argentina,Inactive
LAPSA Air Paraguay,Paraguay,Inactive
LAR,Portugal,Inactive
LAR European Airlines,Romania,Inactive
Laser Airlines,Venezuela,Active
LAT Charter Airlines,Latvia,Inactive
Latinair Cargo,Brazil,Inactive
Lauda Air,Austria,Inactive
Lauda Air Italy,Italy,Inactive
LC Peru,Peru,Active
Leal Lineas Aereas,Argentina,Inactive
Lease Fly,Portugal,Active
Leisure Air,United Kingdom,Inactive
Lequios Airlines,Japan,Inactive
Let s Fly,Spain,Active
LGW Luftfahrtgesellschaft Walter,Germany,Active
LIAT,Antigua Barbuda,Active
Liberia World Airlines,Liberia,Inactive
Libyan Arab Airlines,Libya,Active
Libyavia Air Transport,Libya,Active
Lignes Aeriennes Congolaises,"Congo, Democratic Republic of",Inactive
Lina Congo,Congo,Inactive
Linea Aerea I.A.A.C.A.,Venezuela,Inactive
Linea Turistica Aereotuy,Venezuela,Active
Lineas Aereas Azteca,Mexico,Inactive
Lineas Aereas Guipuzcoanas,Spain,Inactive
Lineas Aereas Hispania,Spain,Inactive
Lineas Aereas Navarras,Spain,Inactive
Lineas Aereas Paraguayas,Paraguay,Inactive
Linjeflyg,Sweden,Inactive
Link Airs,Japan,Inactive
Linkair Express,Italy,Inactive
Linus Airways,Indonesia,Inactive
Lion Airlines,Indonesia,Active
Let s Fly,Spain,Active
LGW Luftfahrtgesellschaft Walter,Germany,Active
LIAT,Antigua Barbuda,Active
Liberia World Airlines,Liberia,Inactive
Libyan Arab Airlines,Libya,Active
Libyavia Air Transport,Libya,Active
Lignes Aeriennes Congolaises,"Congo, Democratic Republic of",Inactive
Lina Congo,Congo,Inactive
Linea Aerea I.A.A.C.A.,Venezuela,Inactive
Linea Turistica Aereotuy,Venezuela,Active
Lineas Aereas Azteca,Mexico,Inactive
Lineas Aereas Guipuzcoanas,Spain,Inactive
Lineas Aereas Hispania,Spain,Inactive
Lineas Aereas Navarras,Spain,Inactive
Lineas Aereas Paraguayas,Paraguay,Inactive
Linjeflyg,Sweden,Inactive
Link Airs,Japan,Inactive
Linkair Express,Italy,Inactive
Linus Airways,Indonesia,Inactive
Lion Airlines,Indonesia,Active
Lithuanian Airlines,Lithuania,Inactive
Livingston,Italy,Inactive
Livingston Compagnia Aerea,Italy,Active
Loadair Cargo,Kuwait,Inactive
Lobaye Airways,Central African Republic,Inactive
Loftleidir,Iceland,Inactive
Loganair,United Kingdom,Active
Logistic Air,USA,Active
Lone Star Airlines,USA,Inactive
Loong Air,China,Active
LorAir,USA,Inactive
Lorena Air,Indonesia,Inactive
LOT Charters,Poland,Active
LOT Polish Airlines,Poland,Active
Lotus Air,Egypt,Inactive
LTE,Spain,Inactive
LTU,Germany,Inactive
LTU Austria,Austria,Inactive
LTU Sud,Germany,Inactive
Lucky Air,China,Active
Lithuanian Airlines,Lithuania,Inactive
Livingston,Italy,Inactive
Livingston Compagnia Aerea,Italy,Active
Loadair Cargo,Kuwait,Inactive
Lobaye Airways,Central African Republic,Inactive
Loftleidir,Iceland,Inactive
Loganair,United Kingdom,Active
Logistic Air,USA,Active
Lone Star Airlines,USA,Inactive
Loong Air,China,Active
LorAir,USA,Inactive
Lorena Air,Indonesia,Inactive
LOT Charters,Poland,Active
LOT Polish Airlines,Poland,Active
Lotus Air,Egypt,Inactive
LTE,Spain,Inactive
LTU,Germany,Inactive
LTU Austria,Austria,Inactive
LTU Sud,Germany,Inactive
Lucky Air,China,Active
Lufthansa,Germany,Active
Lufthansa Cityline,Germany,Active
Lufthansa Italia,Italy,Inactive
Luxair,Luxembourg,Active
Luxor Air,Egypt,Inactive
Luxury Air,USA,Inactive
Luzair,Portugal,Inactive
Lynx Air International,USA,Inactive
Lynx Aviation,USA,Inactive
Lufthansa,Germany,Active
Lufthansa Cityline,Germany,Active
Lufthansa Italia,Italy,Inactive
Luxair,Luxembourg,Active
Luxor Air,Egypt,Inactive
Luxury Air,USA,Inactive
Luzair,Portugal,Inactive
Lynx Air International,USA,Inactive
Lynx Aviation,USA,Inactive
Macair,Argentina,Inactive
Macair Airlines,Australia,Inactive
Macedonian Airlines,Macedonia,Inactive
Macedonian Airlines of Greece,Greece,Inactive
Madagascar Government,Madagascar,Inactive
Madeira Airlines,Portugal,Inactive
Maersk Air,Denmark,Inactive
Maersk Air UK,United Kingdom,Inactive
Magenta Air,Peru,Inactive
MagicBird Cargo,Netherlands,Inactive
Magnicharters,Mexico,Active
Mahalo Air,USA,Inactive
Mahan Air,Iran,Active
Mahfooz Avtn,Gambia,Inactive
Mais Linhas Aereas,Brazil,Inactive
Makung Airlines,Taiwan,Inactive
Malawian Airlines,Malawi,Active
Malaysia Airlines,Malaysia,Active
MALDIVIAN,Maldives,Active
MALEV,Hungary,Inactive
Mali Air Express,Mali,Inactive
Mali Government,Mali,Inactive
Malindo Air,Malaysia,Active
Malmo Aviation,Sweden,Active
Malmo Aviation City Air,Sweden,Inactive
Manas Airways,Kyrgyzstan,Inactive
Mandala Airlines,Indonesia,Inactive
Mandala Indonesia,Indonesia,Active
Mandarin Airlines,Taiwan,Active
Mango,South Africa,Active
Mann Yadanarpon airlines,Myanmar,Active
Manunggal Air,Indonesia,Active
Manx Airlines,United Kingdom,Inactive
MAP Executive Flight Service,Austria,Inactive
MAP Linhas Aereas,Brazil,Active
Markair,USA,Inactive
Markoss Aviation,United Kingdom,Inactive
Maroomba Airlines,Australia,Inactive
Marsland Aviation,Sudan,Active
Martinair Holland,Netherlands,Active
Mali Air Express,Mali,Inactive
Mali Government,Mali,Inactive
Malindo Air,Malaysia,Active
Malmo Aviation,Sweden,Active
Malmo Aviation City Air,Sweden,Inactive
Manas Airways,Kyrgyzstan,Inactive
Mandala Airlines,Indonesia,Inactive
Mandala Indonesia,Indonesia,Active
Mandarin Airlines,Taiwan,Active
Mango,South Africa,Active
Mann Yadanarpon airlines,Myanmar,Active
Manunggal Air,Indonesia,Active
Manx Airlines,United Kingdom,Inactive
MAP Executive Flight Service,Austria,Inactive
MAP Linhas Aereas,Brazil,Active
Markair,USA,Inactive
Markoss Aviation,United Kingdom,Inactive
Maroomba Airlines,Australia,Inactive
Marsland Aviation,Sudan,Active
Martinair Holland,Netherlands,Active
MAS Air Cargo,Mexico,Active
Master Airways,Serbia,Inactive
Master Top Linhas Aereas,Brazil,Inactive
MasterJet,Portugal,Active
MASwings,Malaysia,Active
MAT Airways,Macedonia,Active
MAT Macedonian,Macedonia,Inactive
Mauritania Airlines International,Mauritania,Active
Mauritania Airways,Mauritania,Inactive
Max Air,Nigeria,Active
Maxair,Sweden,Inactive
MaxAvia,Iraq,Inactive
Maximus Air Cargo,United Arab Emirates,Inactive
MAXjet Airways,USA,Inactive
Maya Island Air,Belize,Inactive
Mayan World Airlines,Guatemala,Inactive
MCA Arlines,Sweden,Inactive
McDonnell Douglas,USA,Inactive
MDLR Airlines,India,Active
MEA,Lebanon,Active
MAS Air Cargo,Mexico,Active
Master Airways,Serbia,Inactive
Master Top Linhas Aereas,Brazil,Inactive
MasterJet,Portugal,Active
MASwings,Malaysia,Active
MAT Airways,Macedonia,Active
MAT Macedonian,Macedonia,Inactive
Mauritania Airlines International,Mauritania,Active
Mauritania Airways,Mauritania,Inactive
Max Air,Nigeria,Active
Maxair,Sweden,Inactive
MaxAvia,Iraq,Inactive
Maximus Air Cargo,United Arab Emirates,Inactive
MAXjet Airways,USA,Inactive
Maya Island Air,Belize,Inactive
Mayan World Airlines,Guatemala,Inactive
MCA Arlines,Sweden,Inactive
McDonnell Douglas,USA,Inactive
MDLR Airlines,India,Active
MEA,Lebanon,Active
Med Air,Italy,Inactive
Med Airlines,Italy,Inactive
Med Airways,Lebanon,Active
Med-View Airlines,Nigeria,Active
Medallion Air,Romania,Active
Medavia,Malta,Active
Mediterranean Air Service,Tunisia,Inactive
Mediterranean Airlines,Greece,Inactive
Meelad Air,Jordan,Inactive
Mega Global Air,Maldives,Active
Megantara Air,Indonesia,Inactive
Mekong Airlines,Cambodia,Inactive
Mena Aerospace,Bahrain,Active
Menajet,Lebanon,Inactive
Mentari Lion Airlines,Indonesia,Inactive
Meraj Airlines,Iran,Active
Meridiana,Italy,Active
Meridiana Air,Spain,Inactive
Merpati,Indonesia,Active
Mesa Airlines,USA,Active
Med Air,Italy,Inactive
Med Airlines,Italy,Inactive
Med Airways,Lebanon,Active
Med-View Airlines,Nigeria,Active
Medallion Air,Romania,Active
Medavia,Malta,Active
Mediterranean Air Service,Tunisia,Inactive
Mediterranean Airlines,Greece,Inactive
Meelad Air,Jordan,Inactive
Mega Global Air,Maldives,Active
Megantara Air,Indonesia,Inactive
Mekong Airlines,Cambodia,Inactive
Mena Aerospace,Bahrain,Active
Menajet,Lebanon,Inactive
Mentari Lion Airlines,Indonesia,Inactive
Meraj Airlines,Iran,Active
Meridiana,Italy,Active
Meridiana Air,Spain,Inactive
Merpati,Indonesia,Active
Mesa Airlines,USA,Active
Mesaba,USA,Inactive
Mesopotamia Air,Iraq,Inactive
Meta - Mesquita Transportes Aereos,Brazil,Active
Metro Air Northeast,USA,Inactive
Metro Airlines,USA,Inactive
Metro Int,USA,Inactive
Metroflight,USA,Inactive
Metrojet,USA,Inactive
Metropolis,Netherlands,Inactive
Mexican Air Force,Mexico,Active
Mexican Gvmt,Mexico,Active
Mexicana,Mexico,Inactive
Mexicana Link,Mexico,Inactive
Mexico Air Force,Mexico,Inactive
Mey-Air,Norway,Inactive
MGC Airlines,South Africa,Active
MGM Grand Air,USA,Inactive
MHS Aviation,Malaysia,Active
Miami Air International,USA,Active
MIAT Mongolian,Mongolia,Active
Mesaba,USA,Inactive
Mesopotamia Air,Iraq,Inactive
Meta - Mesquita Transportes Aereos,Brazil,Active
Metro Air Northeast,USA,Inactive
