airline,country,status
Air Bremen,Germany,Inactive
Air Bretagne,France,Inactive
Air Bridge Cargo,Russia,Active
Air Bucharest,Romania,Active
Air Bagan,Myanmar,Active
Air Bahamas,Bahamas,Inactive
Air Baltic,Latvia,Active
Air Bashkortostan,Russia,Inactive
Air Batumi,Georgia,Inactive
Air BC,Canada,Inactive
Air Bee,Italy,Inactive
Air Belgium,Belgium,Inactive
Air Berlin,Germany,Active
Air Berlin Turkey,Turkey,Inactive
Air Berlin USA,USA,Inactive
Air Bishkek,Kyrgyzstan,Active
Air Bosna,Bosnia-Hercegovina,Inactive
Air Botnia,Finland,Inactive
Air Botswana,Botswana,Active
Air Bourbon,France,Inactive
Air Bremen,Germany,Inactive
Air Bretagne,France,Inactive
Air Bridge Cargo,Russia,Active
Air Bucharest,Romania,Active
Air Burkina,Burkina Faso,Active
Air Busan,South Korea,Active
Air Cairo,Egypt,Active
Air Caledonie,France,Active
Air Caledonie International,France,Active
Air California,USA,Inactive
Air Canada,Canada,Active
Air Canada Jetz,Canada,Active
Air Canada Regional,Canada,Inactive
Air Canada Rouge,Canada,Active
Air Caraibes,France,Active
Air Cargo Germany,Germany,Inactive
Air Cargo Mongolia,Mongolia,Inactive
Air Caribbean,Jamaica,Inactive
Air Caucasus,Georgia,Active
Air Central,Japan,Inactive
Air Chabahar,Iran,Inactive
Air Charter,France,Inactive
Air Charter Express,Ghana,Inactive
Air China,China,Active
Air Burkina,Burkina Faso,Active
Air Busan,South Korea,Active
Air Cairo,Egypt,Active
Air Caledonie,France,Active
Air Caledonie International,France,Active
Air California,USA,Inactive
Air Canada,Canada,Active
Air Canada Jetz,Canada,Active
Air Canada Regional,Canada,Inactive
Air Canada Rouge,Canada,Active
Air Caraibes,France,Active
Air Cargo Germany,Germany,Inactive
Air Cargo Mongolia,Mongolia,Inactive
Air Caribbean,Jamaica,Inactive
Air Caucasus,Georgia,Active
Air Central,Japan,Inactive
Air Chabahar,Iran,Inactive
Air Charter,France,Inactive
Air Charter Express,Ghana,Inactive
Air China,China,Active
Air Club Int,Canada,Inactive
Air Columbus,Portugal,Inactive
Air Comet,Spain,Inactive
Air Comet Chile,Chile,Inactive
Air Comores,Comoros,Inactive
Air Congo,Congo,Inactive
Air Contractors,Ireland,Active
Air Corridor,Mozambique,Inactive
Air Corsica,France,Active
Air Costa,India,Active
Air Cote Ivoire,Ivory Coast,Active
Air Creebec,Canada,Active
Air Cuenca,Ecuador,Inactive
Air Dabia,Gambia,Inactive
Air Dale,Canada,Inactive
Air Deccan,India,Inactive
Air Djibouti,Djibouti,Inactive
Air Dolomiti,Italy,Active
Air Dominicana,Dominican Republic,Inactive
Air Efata,Indonesia,Inactive
Air Club Int,Canada,Inactive
Air Columbus,Portugal,Inactive
Air Comet,Spain,Inactive
Air Comet Chile,Chile,Inactive
Air Comores,Comoros,Inactive
Air Congo,Congo,Inactive
Air Contractors,Ireland,Active
Air Corridor,Mozambique,Inactive
Air Corsica,France,Active
Air Costa,India,Active
Air Cote Ivoire,Ivory Coast,Active
Air Creebec,Canada,Active
Air Cuenca,Ecuador,Inactive
Air Dabia,Gambia,Inactive
Air Dale,Canada,Inactive
Air Deccan,India,Inactive
Air Djibouti,Djibouti,Inactive
Air Dolomiti,Italy,Active
Air Dominicana,Dominican Republic,Inactive
Air Efata,Indonesia,Inactive
Air Europa,Spain,Active
Air Europe,United Kingdom,Inactive
Air Europe Italy,Italy,Inactive
Air Exel Belgique,Belgium,Inactive
Air Exel Netherlands,Netherlands,Inactive
Air Express Algeria,Algeria,Active
Air Express Sweden,Sweden,Inactive
Air Fiji,Fiji,Inactive
Air Fin Europe,United Kingdom,Inactive
Air Finland,Finland,Inactive
Air Florida,USA,Inactive
Air Foyle,United Kingdom,Inactive
Air France,France,Active
Air Gabon,Gabon,Inactive
Air Georgian,Canada,Active
Air Ghana,Ghana,Active
Air Global,Portugal,Inactive
Air Go Egypt,Egypt,Active
Air Great Wall,China,Inactive
Air Greece,Greece,Inactive
Air Europa,Spain,Active
Air Europe,United Kingdom,Inactive
Air Europe Italy,Italy,Inactive
Air Exel Belgique,Belgium,Inactive
Air Exel Netherlands,Netherlands,Inactive
Air Express Algeria,Algeria,Active
Air Express Sweden,Sweden,Inactive
Air Fiji,Fiji,Inactive
Air Fin Europe,United Kingdom,Inactive
Air Finland,Finland,Inactive
Air Florida,USA,Inactive
Air Foyle,United Kingdom,Inactive
Air France,France,Active
Air Gabon,Gabon,Inactive
Air Georgian,Canada,Active
Air Ghana,Ghana,Active
Air Global,Portugal,Inactive
Air Go Egypt,Egypt,Active
Air Great Wall,China,Inactive
Air Greece,Greece,Inactive
Air Greenland,Denmark,Active
Air Guadeloupe,France,Inactive
Air Guinee,Guinea,Inactive
Air Gulf Falcon,Swaziland,Inactive
Air Guyane,France,Inactive
Air Hamburg,Germany,Active
Air Hawaii,USA,Inactive
Air Holland,Netherlands,Inactive
Air Hong Kong,Hong-Kong,Active
Air Horizons,France,Inactive
Air Iceland,Iceland,Active
Air Incheon,South Korea,Active
Air India,India,Active
Air India Express,India,Active
Air India Regional,India,Active
Air Indus,Pakistan,Active
Air Industria,Italy,Inactive
Air Inter,France,Inactive
Air Inter Cameroon,Cameroon,Inactive
Air Inter Congo,Congo,Inactive
Air Greenland,Denmark,Active
Air Guadeloupe,France,Inactive
Air Guinee,Guinea,Inactive
Air Gulf Falcon,Swaziland,Inactive
Air Guyane,France,Inactive
Air Hamburg,Germany,Active
