from,to,country,city,state,price,color,nonstop,time,link,img,lat,lng
"sfo","alwa","United States","Walla Walla","WA","77","green","1+ stops","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/alwa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=77","https://content.skyscnr.com/01ba49e086f51ba52bd60911c0be94b8/GettyImages-152027860.jpg?resize=500px:500px&quality=60undefined","46.048011","-118.3523691",
"sfo","gega","United States","Spokane","WA","78","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/gega?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=78","https://content.skyscnr.com/80ac431c8c9ad7a40aaa8ec093799fd7/Spokane-GettyImages-163641699.jpg?resize=500px:500px&quality=60undefined","0","0",
"sfo","rnoa","United States","Reno","NV","79","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/rnoa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=79","https://content.skyscnr.com/5826845782d2a8772e961c10419204a4/GettyImages-529206299.jpg?resize=500px:500px&quality=60undefined","0","0",
"sfo","sjca","United States","San Jose","CA","79","green","1+ stops","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/sjca?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=79","https://content.skyscnr.com/47c4c498c19bf84eb5397c882ea11ccc/San%20Jose-GettyImages-171331160.jpg?resize=500px:500px&quality=60undefined","37.3639472","-121.9289375",
"sfo","mkca","United States","Kansas City","MO","80","green","Non-stop","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/mkca?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=80","https://content.skyscnr.com/ed418f09a556db3cfc8b924ddcde2a90/GettyImages-477843762.jpg?resize=500px:500px&quality=60undefined","39.044398","-94.585743",
"sfo","psca","United States","Pasco","WA","81","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/psca?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=81","https://content.skyscnr.com/5b4d472e7614d0edb01952574069c6c8/fillter-illu.svg?resize=500px:500px&quality=90undefined","46.2619975","-119.1150024",
"sfo","blia","United States","Bellingham","WA","82","green","1+ stops","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/blia?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=82","https://content.skyscnr.com/5b4d472e7614d0edb01952574069c6c8/fillter-illu.svg?resize=500px:500px&quality=90undefined","48.7941603","-122.5363851",
"sfo","mmha","United States","Mammoth Lakes","CA","82","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/mmha?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=82","https://content.skyscnr.com/334a738cafc6ff6f5586f3eb5763227b/GettyImages-200227804-001.jpg?resize=500px:500px&quality=60undefined","37.6489915","-118.9709044",
"sfo","ausa","United States","Austin","TX","84","green","1+ stops (Non-stop available)","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/ausa?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=84","https://content.skyscnr.com/4e34502cf0d721de389a514dfae93c5d/GettyImages-513954563.jpg?resize=500px:500px&quality=60undefined","30.270721","-97.742414",
"sfo","oaka","United States","Oakland","CA","84","green","1+ stops","Fri Feb 02 2018 14:17:45 GMT-0800 (PST)","https://www.skyscanner.com/transport/flights/sfo/oaka?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=0&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&oym=1802&qp_prevProvider=ins_browse&qp_prevCurrency=USD&priceSourceId=b3ms-UK1-3&qp_prevPrice=84","https://content.skyscnr.com/a934f0dccd20faa3dc041f2b93ace579/GettyImages-534045461.jpg?resize=500px:500px&quality=60undefined","37.7125689","-122.2197428",
